iter	MAE
211	6.219721411
212	6.218869948
213	6.216879205
214	6.214785119
215	6.2136289
216	6.211791667
217	6.210152089
218	6.209065744
219	6.206902562
220	6.203016859
221	6.201269084
222	6.199674534
223	6.199297633
224	6.197034347
225	6.195911267
226	6.194077208
227	6.193156387
228	6.191919559
229	6.191250114
230	6.188709383
231	6.187491996
232	6.186088039
233	6.185433358
234	6.184143138
235	6.182953203
236	6.181930512
237	6.180935616
238	6.179630566
239	6.178845079
240	6.17717442
241	6.175278552
242	6.174573946
243	6.172291306
244	6.170689612
245	6.169040009
246	6.16685904
247	6.164494759
248	6.163737002
249	6.162554121
250	6.160949095
251	6.159297038
252	6.156452227
253	6.15532046
254	6.153852427
255	6.151848851
256	6.150931793
257	6.150241791
258	6.149608605
259	6.148372988
260	6.146847816
261	6.145520989
262	6.14349734
263	6.142465891
264	6.14196504
265	6.14038162
266	6.138821218
267	6.13684451
268	6.135907593
269	6.134863204
270	6.134177731
271	6.133096735
272	6.131614379
273	6.13030885
274	6.129285916
275	6.128833242
276	6.127703303
277	6.124235774
278	6.120361699
279	6.1193678
280	6.118039231
281	6.116372601
282	6.115581301
283	6.113969502
284	6.113010835
285	6.112158423
286	6.111262681
287	6.109781001
288	6.108316197
289	6.107545791
290	6.106237748
291	6.105775798
292	6.105500384
293	6.104225032
294	6.100524124
295	6.09831215
296	6.097030942
297	6.095812881
298	6.095054741
299	6.093425369
300	6.091591976
301	6.088897911
302	6.088033055
303	6.087274592
304	6.084186534
305	6.082534993
306	6.081929462
307	6.080059624
308	6.078105527
309	6.075932776
310	6.072886561
311	6.071451146
312	6.070613362
313	6.066874987
314	6.065245421
315	6.062922929
316	6.062213142
317	6.061228636
318	6.060135133
319	6.057857505
320	6.055462966
321	6.054433105
322	6.054011557
323	6.052560212
324	6.051356085
325	6.050035333
326	6.049061876
327	6.048356911
328	6.046605734
329	6.0447704
330	6.042648236
331	6.041662474
332	6.040166919
333	6.038928492
334	6.038210759
335	6.036863859
336	6.035901641
337	6.034222633
338	6.033450698
339	6.032155746
340	6.03061262
341	6.02892486
342	6.027851852
343	6.026265621
344	6.024798073
345	6.02287825
346	6.022104114
347	6.021023736
348	6.019974994
349	6.018597512
350	6.015168886
351	6.012998642
352	6.012360354
353	6.01168002
354	6.009716951
355	6.007761835
356	6.006194358
357	6.00527674
358	6.003846134
359	6.002007337
360	6.000859114
361	5.998525364
362	5.997215603
363	5.996676742
364	5.995327854
365	5.994451986
366	5.993046753
367	5.992510855
368	5.991765804
369	5.990894691
370	5.990063573
371	5.989246284
372	5.988279007
373	5.986417277
374	5.985629029
375	5.983799232
376	5.98286906
377	5.981933502
378	5.981261247
379	5.979524078
380	5.978064674
381	5.976717116
382	5.975451179
383	5.973294003
384	5.970737497
385	5.969185761
386	5.96809172
387	5.966245938
388	5.964004214
389	5.96305857
390	5.962276033
391	5.961403185
392	5.960142779
393	5.958654648
394	5.957452083
395	5.956491302
396	5.955052904
397	5.953264801
398	5.950867165
399	5.949011717
400	5.947499003
401	5.946742429
402	5.94565237
403	5.944112454
404	5.9429804
405	5.94197679
406	5.941106349
407	5.939712219
408	5.938224135
409	5.936514708
410	5.935699404
411	5.934405747
412	5.933319185
413	5.931553352
414	5.930918074
415	5.92990217
416	5.928798383
417	5.927527432
418	5.926969972
419	5.925063879
420	5.924145043
421	5.923324632
422	5.921766334
423	5.919642476
424	5.918309838
425	5.917498576
426	5.916360456
427	5.915098424
428	5.913596163
429	5.912402724
430	5.911904363
431	5.910842013
432	5.909747245
433	5.908893469
434	5.908332876
435	5.90746016
436	5.906778748
437	5.905703724
438	5.905080988
439	5.90341501
440	5.902726281
441	5.901842513
442	5.901036414
443	5.899987394
444	5.89836967
445	5.896880609
446	5.895752568
447	5.895050808
448	5.894262337
449	5.893064454
450	5.892446748
451	5.891149234
452	5.890152348
453	5.888708068
454	5.888065486
455	5.88688832
456	5.885735141
457	5.884320133
458	5.883318866
459	5.882703562
460	5.881404545
461	5.880752963
462	5.879761724
463	5.878976459
464	5.878219235
465	5.877587055
466	5.876848425
467	5.876196799
468	5.875283819
469	5.873915336
470	5.873077205
471	5.871911136
472	5.871301294
473	5.869435218
474	5.868778396
475	5.867979235
476	5.866646397
477	5.865593313
478	5.864992085
479	5.863965818
480	5.862954834
481	5.862127532
482	5.861700545
483	5.861006287
484	5.860135496
485	5.859143271
486	5.858604641
487	5.857446951
488	5.856644448
489	5.85584812
490	5.854200294
491	5.853090677
492	5.852253033
493	5.85110169
494	5.85067286
495	5.849775855
496	5.849088012
497	5.848413255
498	5.847610244
499	5.846457041
500	5.84562783
501	5.845006151
502	5.843615013
503	5.841991359
504	5.841398159
505	5.840604918
506	5.839433053
507	5.838297953
508	5.837572596
509	5.837132632
510	5.836274451
511	5.835347705
512	5.835071014
513	5.834232293
514	5.833798887
515	5.833240858
516	5.83178433
517	5.831174679
518	5.830591711
519	5.829639709
520	5.828889965
521	5.828029325
522	5.826545524
523	5.82580001
524	5.824085148
525	5.82329101
526	5.822422548
527	5.821416993
528	5.820124314
529	5.819542101
530	5.818733292
531	5.818512136
532	5.817732213
533	5.816836506
534	5.816072763
535	5.815601931
536	5.814510524
537	5.812677874
538	5.812071531
539	5.810921818
540	5.809624152
541	5.808369554
542	5.807563428
543	5.806647593
544	5.805442524
545	5.804555775
546	5.803884789
547	5.803464712
548	5.802683291
549	5.801704108
550	5.800862096
551	5.798911385
552	5.797972425
553	5.797168163
554	5.797090606
555	5.796413785
556	5.795325006
557	5.794376377
558	5.793582647
559	5.792577686
560	5.791640166
561	5.790958021
562	5.789574812
563	5.78909678
564	5.788720477
565	5.787922499
566	5.787174649
567	5.786914087
568	5.786304809
569	5.785426273
570	5.784760067
571	5.783790573
572	5.783031704
573	5.781465191
574	5.780915984
575	5.779748574
576	5.779231022
577	5.778417713
578	5.777678072
579	5.777286394
580	5.776764366
581	5.776194849
582	5.77548896
583	5.774996772
584	5.77375697
585	5.772616435
586	5.772059735
587	5.77127003
588	5.770780798
589	5.769855842
590	5.769036628
591	5.767789013
592	5.767039524
593	5.766402839
594	5.76573489
595	5.764605333
596	5.763756002
597	5.763277763
598	5.762682715
599	5.7622438
600	5.761199031
601	5.760217961
602	5.758579031
603	5.75749333
604	5.756746028
605	5.755919967
606	5.755634025
607	5.755120408
608	5.754692572
609	5.754000702
610	5.753145165
611	5.752343801
612	5.751381624
613	5.749870719
614	5.748952958
615	5.748352709
616	5.747678553
617	5.747184856
618	5.74670181
619	5.746117429
620	5.745475694
621	5.744634859
622	5.74370491
623	5.742788901
624	5.742000236
625	5.741159093
626	5.74026952
627	5.739507533
628	5.738597592
629	5.73760634
630	5.736417102
631	5.735501788
632	5.734863536
633	5.733745499
634	5.732852894
635	5.731918607
636	5.731121619
637	5.730187525
638	5.729603662
639	5.728582533
640	5.727682083
641	5.726468001
642	5.724841636
643	5.724139637
644	5.723412501
645	5.722899068
646	5.722394853
647	5.722040578
648	5.721494186
649	5.72075934
650	5.719901697
651	5.719257902
652	5.717788485
653	5.717078032
654	5.716106405
655	5.715376151
656	5.714514888
657	5.714310397
658	5.714093079
659	5.713415521
660	5.713140007
661	5.712777528
662	5.712403512
663	5.71188691
664	5.711075497
665	5.710229682
666	5.709106105
667	5.708163453
668	5.707513169
669	5.707155515
670	5.706309246
671	5.705985562
672	5.705569459
673	5.704864318
674	5.704620634
675	5.703989341
676	5.702696373
677	5.702461551
678	5.702040178
679	5.701703009
680	5.701120009
681	5.700363446
682	5.69957565
683	5.699099186
684	5.698610112
685	5.696979837
686	5.696033858
687	5.695530696
688	5.694797633
689	5.694407622
690	5.693808122
691	5.692968216
692	5.692187844
693	5.691396645
694	5.691058352
695	5.690344795
696	5.690097632
697	5.689758337
698	5.689245603
699	5.688481111
700	5.687735536
701	5.686619917
702	5.685728175
703	5.685095367
704	5.684310831
705	5.684023105
706	5.683159223
707	5.68273594
708	5.682172023
709	5.681094944
710	5.680094403
711	5.679693317
712	5.679008888
713	5.678295502
714	5.677833209
715	5.67749553
716	5.676830968
717	5.676194901
718	5.675213443
719	5.674441198
720	5.673820761
721	5.673250634
722	5.672075042
723	5.670992061
724	5.670238881
725	5.669580542
726	5.669048113
727	5.668394025
728	5.667548641
729	5.666951899
730	5.665693767
731	5.665249052
732	5.664850913
733	5.66391601
734	5.663350681
735	5.662541531
736	5.661815542
737	5.661050339
738	5.660995708
739	5.660465601
740	5.659606696
741	5.659005861
742	5.658012983
743	5.657418085
744	5.65638488
745	5.655632609
746	5.654482299
747	5.653524862
748	5.65307659
749	5.652223015
750	5.651232126
751	5.65056844
752	5.650125418
753	5.649784521
754	5.649454629
755	5.64891106
756	5.648336749
757	5.647805064
758	5.647242848
759	5.646385847
760	5.64590481
761	5.64508278
762	5.644807458
763	5.644175443
764	5.643689439
765	5.642955425
766	5.642484927
767	5.641945694
768	5.641545291
769	5.640726862
770	5.640067392
771	5.639473815
772	5.638901275
773	5.6380994
774	5.637849671
775	5.637362017
776	5.636774024
777	5.635584945
778	5.634394805
779	5.633665742
780	5.633008624
781	5.63241871
782	5.631420479
783	5.631179104
784	5.630140519
785	5.629866682
786	5.628841841
787	5.627706059
788	5.627524285
789	5.627104323
790	5.626301244
791	5.625669228
792	5.625002133
793	5.624071413
794	5.623616372
795	5.623428617
796	5.622782354
797	5.622365662
798	5.621948745
799	5.621319011
800	5.620491093
801	5.619825973
802	5.619664349
803	5.619274986
804	5.618712652
805	5.618423338
806	5.618243915
807	5.617631229
808	5.616864734
809	5.616600802
810	5.616355506
811	5.615504274
812	5.614704438
813	5.614079422
814	5.613358722
815	5.612604567
816	5.611923653
817	5.611638567
818	5.611019262
819	5.610570235
820	5.610260647
821	5.610165965
822	5.609619496
823	5.608933495
824	5.607994147
825	5.607526927
826	5.607109471
827	5.606928332
828	5.606121123
829	5.605827624
830	5.605275605
831	5.604671258
832	5.60416656
833	5.602867891
834	5.60242937
835	5.602047758
836	5.601298948
837	5.600469666
838	5.59938718
839	5.598710921
840	5.598465237
841	5.597558411
842	5.597220622
843	5.596897323
844	5.596370173
845	5.595816193
846	5.595249887
847	5.595125735
848	5.594583617
849	5.593597164
850	5.593202561
851	5.592885896
852	5.592308544
853	5.59179888
854	5.591405182
855	5.591136089
856	5.591019368
857	5.590526412
858	5.58970509
859	5.589385609
860	5.58904707
861	5.5889526
862	5.588263212
863	5.588156775
864	5.587566727
865	5.587216919
866	5.586645812
867	5.58630806
868	5.585965205
869	5.585621015
870	5.584855638
871	5.58460188
872	5.584239576
873	5.584082998
874	5.583876094
875	5.583135651
876	5.582692484
877	5.582159656
878	5.581158921
879	5.580659905
880	5.579923852
881	5.579496106
882	5.578921631
883	5.578132159
884	5.577526792
885	5.577119443
886	5.576821396
887	5.576257176
888	5.575835009
889	5.575517945
890	5.574713898
891	5.574435171
892	5.574105406
893	5.573888357
894	5.573293585
895	5.572824562
896	5.572419607
897	5.571625994
898	5.571172262
899	5.570453428
900	5.570063898
901	5.569641837
902	5.569186659
903	5.568856897
904	5.567792847
905	5.5672871
906	5.566912425
907	5.566582069
908	5.566256316
909	5.565875269
910	5.565486138
911	5.56491728
912	5.564810619
913	5.564559255
914	5.564343938
915	5.563810685
916	5.562976603
917	5.562128642
918	5.561698137
919	5.560939795
920	5.560619595
921	5.559554017
922	5.55885278
923	5.558598944
924	5.55751107
925	5.556925865
926	5.556216312
927	5.55556215
928	5.554651669
929	5.553842605
930	5.553186805
931	5.552995766
932	5.552235612
933	5.5519851
934	5.551488851
935	5.550749228
936	5.550216066
937	5.549537416
938	5.549039045
939	5.548449082
940	5.547957857
941	5.547303312
942	5.546703079
943	5.54618754
944	5.545493468
945	5.544879761
946	5.544377295
947	5.543896899
948	5.543529422
949	5.543011654
950	5.542380098
951	5.542055183
952	5.541627463
953	5.541387831
954	5.540901188
955	5.540141656
956	5.539893172
957	5.53952704
958	5.539096218
959	5.538674388
960	5.538215545
961	5.537619847
962	5.537361824
963	5.537270466
964	5.536774222
965	5.536541215
966	5.536126709
967	5.535397474
968	5.535219219
969	5.534773657
970	5.534619083
971	5.533763738
972	5.533472519
973	5.533325976
974	5.532833383
975	5.532679949
976	5.532584762
977	5.532323059
978	5.53202782
979	5.531446885
980	5.531173335
981	5.53055354
982	5.529951535
983	5.529173215
984	5.52877869
985	5.528493006
986	5.528202343
987	5.526932826
988	5.526566418
989	5.526250153
990	5.52563883
991	5.525369539
992	5.524866566
993	5.524489098
994	5.523947749
995	5.523575472
996	5.523453006
997	5.522837633
998	5.522439549
999	5.522275191
